trial,score,start_equity,end_equity,return_pct,max_drawdown,max_drawdown_pct,btc_trades,sol_trades,btc_ema_fast,btc_ema_slow,btc_adx_min,btc_atr_period,btc_stop_atr_mult,btc_tp_atr_mult,btc_trigger_delta,btc_pos_pct,sol_bb_period,sol_bb_std,sol_rsi_period,sol_rsi_long_max,sol_rsi_short_min,sol_adx_max,sol_atr_period,sol_stop_atr_mult,sol_trigger_delta
109,4.210940721840667,1000.0,1111.6366553034586,11.163665530345867,29.54825296617446,2.651109637436562,62,3,38,300,28.0,20,1.9,2.8,0.0035,30,24,1.8,17,29,65,17.0,20,1.6,0.007
35,2.958093607055141,1000.0,1043.3116975196597,4.331169751965969,15.208300199051337,1.4641760293305122,102,24,38,260,25.0,20,1.3,3.4000000000000004,0.0023,14,34,1.7000000000000002,14,36,68,20.0,19,1.7,0.0024000000000000002
217,2.7661350996859255,1000.0,1042.7619844970557,4.2761984497055705,16.334663364320704,1.545910917435342,62,8,40,250,28.0,17,1.6,3.2,0.0023,14,16,2.5,10,40,70,13.0,14,1.2,0.0036
119,2.3442643358033983,1000.0,1052.5440579287872,5.254405792878725,22.72009933619688,2.241387932508045,79,21,38,190,26.0,13,1.4,3.3,0.0034000000000000002,16,24,2.6,19,35,65,22.0,14,2.4000000000000004,0.0044
203,2.19675946810688,1000.0,1060.7644082642978,6.076440826429774,28.799511297621734,2.7660929267173344,48,0,40,300,30.0,13,1.5,3.0,0.0016,22,24,1.7000000000000002,19,31,67,18.0,12,2.2,0.0068000000000000005
113,2.1018788181312367,1000.0,1042.7965121905409,4.2796512190540925,21.345922451130264,2.0361074968437505,89,0,38,280,26.0,19,1.2,2.9000000000000004,0.0019000000000000002,18,26,2.2,15,38,67,10.0,20,2.2,0.004
185,1.9202891495722727,1000.0,1047.5427976416354,4.754279764163538,26.593625558467238,2.4758145226319233,40,10,38,150,30.0,17,2.2,2.8,0.0014000000000000002,20,24,2.2,10,37,71,13.0,12,1.2,0.0036
52,1.5334593534769996,1000.0,1028.303406135469,2.8303406135469,18.652208764989155,1.845722618685212,144,11,32,200,23.0,14,1.9,2.6,0.0025,10,30,1.9000000000000001,11,31,69,16.0,17,2.0,0.0068000000000000005
34,1.3663813405213456,1000.0,1018.9581103968712,1.895811039687123,13.956683900158964,1.3874684785755143,84,29,34,170,27.0,19,1.4,3.0,0.0025,10,22,2.0,13,34,70,19.0,19,2.2,0.004
289,1.328121332110214,1000.0,1037.1193858648649,3.711938586486485,28.65082599915661,2.7948791249280602,58,11,34,240,29.0,10,1.9,3.6,0.0034000000000000002,16,24,1.9000000000000001,20,36,68,22.0,17,2.6,0.008
144,1.3167273295447894,1000.0,1033.3883444126877,3.3388344412687676,25.8113185795155,2.5357067984782,82,1,40,320,26.0,14,2.0,2.7,0.0023,16,38,2.6,16,32,65,11.0,10,1.4,0.0048000000000000004
87,1.287988615942603,1000.0,1032.8541384764676,3.2854138476467565,26.231446896021566,2.550809694262985,58,1,36,300,29.0,12,1.6,2.1,0.0034000000000000002,24,32,2.2,14,28,69,15.0,13,1.9,0.0048000000000000004
166,1.1505230633859818,1000.0,1033.0543647523248,3.3054364752324705,30.292936495890444,2.872985844807485,117,4,22,170,27.0,20,1.6,3.1,0.0024000000000000002,20,16,2.2,20,29,60,12.0,17,1.7,0.0078000000000000005
154,1.1108713139478494,1000.0,1030.1361632266878,3.0136163226687884,28.05068033284215,2.71284016864105,60,56,40,200,28.0,19,1.9,2.5,0.0031,10,32,2.3000000000000003,12,36,68,21.0,19,2.4000000000000004,0.007200000000000001
292,1.0780814903950497,1000.0,1020.0852732629879,2.0085273262987924,19.36556211947152,1.863057054771242,37,0,40,130,31.0,20,1.9,3.6,0.0027,12,28,1.9000000000000001,18,29,71,20.0,16,2.0,0.0038000000000000004
39,1.0691085478408795,1000.0,1038.3723971823333,3.8372397182333318,36.51739213589099,3.589195620952463,94,0,36,290,25.0,12,2.1,3.3,0.0022,18,38,1.9000000000000001,20,32,70,22.0,18,1.9,0.006
233,1.0178115795798042,1000.0,1040.5957927688803,4.059579276888026,42.725627930799874,3.988537130383201,130,7,22,280,27.0,18,1.3,3.0,0.0017000000000000001,30,14,1.9000000000000001,17,34,59,13.0,17,2.2,0.0058
130,0.9962740326582555,1000.0,1034.289596228983,3.428959622898309,35.472997801786505,3.4417835961750085,178,63,22,210,23.0,10,2.0,2.8,0.0016,12,38,2.1,16,42,64,21.0,17,2.6,0.008
7,0.9522623562912794,1000.0,1015.8311303429359,1.5831130342935928,17.096016214926976,1.6624757072822354,38,5,40,240,32.0,20,1.7000000000000002,2.2,0.0016,14,20,2.4000000000000004,18,32,69,19.0,16,2.6,0.005600000000000001
127,0.8582582801378899,1000.0,1011.8121697658091,1.1812169765809122,14.095553018131568,1.3762954624697998,58,5,40,130,28.0,16,1.5,2.6,0.0031,10,24,1.7000000000000002,15,31,69,20.0,20,1.3,0.0068000000000000005
148,0.8457931799551653,1000.0,1016.8899235512877,1.68899235512876,20.38819540010661,1.996933050723218,118,27,34,280,25.0,13,1.3,3.6,0.0019000000000000002,10,14,2.0,17,37,72,20.0,20,1.9,0.0038000000000000004
281,0.8225562865326068,1000.0,1022.3715870031332,2.237158700313313,28.019619355843815,2.719763664738134,45,33,34,160,30.0,18,1.9,1.8,0.0013,16,40,1.9000000000000001,10,31,58,17.0,10,2.6,0.004200000000000001
95,0.8133538052076323,1000.0,1035.6982040762841,3.56982040762841,44.58599054252477,4.389012979065253,157,12,22,250,25.0,13,1.6,2.8,0.0034000000000000002,24,26,2.2,11,33,64,15.0,20,1.6,0.004200000000000001
93,0.7600234873561477,1000.0,1016.4632192371996,1.6463219237199622,21.885746369398703,2.166146114045676,70,5,34,250,28.0,11,1.7000000000000002,3.2,0.001,12,24,2.5,12,29,60,14.0,19,2.2,0.005600000000000001
294,0.719113080665394,1000.0,1018.708648691047,1.8708648691047047,27.195799090363266,2.601628199244543,62,2,40,220,28.0,12,1.5,1.9000000000000001,0.0008,24,22,1.9000000000000001,12,37,70,12.0,17,2.4000000000000004,0.0068000000000000005
187,0.717834984316126,1000.0,1025.449771870302,2.544977187030195,36.42479617053539,3.5453512891333494,56,39,40,320,29.0,17,1.7000000000000002,2.3,0.0031,20,18,1.8,18,35,60,18.0,20,1.2,0.0052
215,0.7013563861989913,1000.0,1044.7749581423093,4.477495814230936,68.16905926381264,6.384052248382273,183,30,36,310,20.0,19,1.6,3.1,0.0013,24,34,2.4000000000000004,20,42,60,18.0,12,1.9,0.0038000000000000004
225,0.6756581644456648,1000.0,1023.4943475108478,2.349434751084778,36.49739039386509,3.477253550265824,122,2,34,180,24.0,13,1.7000000000000002,2.6,0.0018,18,24,2.4000000000000004,19,30,67,17.0,15,2.6,0.006200000000000001
273,0.6481350173680337,1000.0,1020.6940954627862,2.069409546278611,33.22507428220001,3.192867984023039,120,49,34,280,24.0,18,2.0,3.3,0.0026000000000000003,16,28,2.0,11,34,72,21.0,10,2.0,0.005600000000000001
189,0.5728072751398777,1000.0,1036.44641881693,3.6446418816930004,67.78614848251993,6.362771633448598,174,0,38,230,18.0,19,2.0,3.3,0.0029000000000000002,24,14,1.6,18,36,64,10.0,10,2.0,0.0066
116,0.5611450331876745,1000.0,1022.2433079551496,2.2243307955149616,41.720046988410786,3.963914253823638,152,8,14,320,28.0,16,1.8,2.9000000000000004,0.0008,20,22,1.8,13,33,70,17.0,13,1.5,0.0028
