strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason
trend,BTC/USDT:USDT,long,1759302000000,1759305600000,114195.4329554044,115132.10967552102,0.0,0.0,tp
trend,BTC/USDT:USDT,long,1759500000000,1759503600000,119729.717968148,121025.81406716366,0.0,0.0,tp
trend,BTC/USDT:USDT,long,1759626000000,1759629600000,121940.4093183409,123141.64461352745,0.0,0.0,tp
trend,BTC/USDT:USDT,long,1759676400000,1759680000000,123284.01888029296,122336.84051352994,0.0,-0.0,sl
trend,BTC/USDT:USDT,long,1759816800000,1759820400000,124627.41798664085,123694.58553683531,0.0,-0.0,sl
trend,BTC/USDT:USDT,long,1759939200000,1759942800000,122102.38229615703,123991.34598245082,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1760274000000,1760277600000,111361.89926689648,112919.71089699712,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1760378400000,1760382000000,114431.80165644598,115528.903275741,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1760601600000,1760605200000,112490.74045375269,109943.68031682073,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1760623200000,1760626800000,111187.47278224125,108909.23506663492,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1760878800000,1760882400000,106782.83734898196,108188.05707455243,0.0,-0.0,sl
bbrsi,SOL/USDT:USDT,short,1760911200000,1760914800000,189.8759599997347,188.59705,2.106638460185054,2.455817513151927,tp
trend,BTC/USDT:USDT,short,1760925600000,1760929200000,108204.13679414267,108984.27422100012,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1760986800000,1760990400000,110200.18626636731,111083.8797754246,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1761015600000,1761019200000,110409.1696803203,108595.11755629582,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1761260400000,1761264000000,109498.507293153,110645.89546825981,0.0,-0.0,sl
trend,BTC/USDT:USDT,long,1761465600000,1761469200000,110520.98994931577,112434.0508540375,0.0,0.0,tp
trend,BTC/USDT:USDT,long,1761656400000,1761660000000,114309.33726399145,115760.15746119677,0.0,0.0,tp
trend,BTC/USDT:USDT,long,1761742800000,1761746400000,113389.83501832365,112501.0819886117,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1761822000000,1761825600000,111074.83712475827,108443.34601951587,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1761879600000,1761883200000,108743.96077027079,110043.00168091341,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1761915600000,1761919200000,109406.63861863916,110592.15385546246,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1762351200000,1762354800000,102187.10811276488,103570.47795782967,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1762509600000,1762513200000,101964.15011366794,99865.55073906427,0.0,0.0,tp
trend,BTC/USDT:USDT,long,1762819200000,1762822800000,105404.02838310688,107245.97538214974,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1762956000000,1762959600000,104090.80643854658,102511.89965933577,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1763046000000,1763049600000,102749.16894946704,100685.94922779927,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1763326800000,1763330400000,96175.93037839449,93164.47372047204,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1763398800000,1763402400000,94842.04385114247,92519.73243488738,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1763524800000,1763528400000,92448.47098856048,90226.42954719743,0.0,0.0,tp
trend,BTC/USDT:USDT,short,1763902800000,1763906400000,84893.50946600859,86923.79878696518,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1763946000000,1763949600000,86680.59744940838,87589.48948598886,0.0,-0.0,sl
trend,BTC/USDT:USDT,short,1764000000000,1764003600000,86855.77312663978,87906.68301552178,0.0,-0.0,sl
trend,BTC/USDT:USDT,long,1764331200000,1764334800000,91028.88128204664,92248.14700185721,0.0,0.0,tp
