strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason
trend,BTC/USDT:USDT,short,1725224400000,1725228000000,58294.28275874439,57374.37675674632,0.0027446945468421486,2.4303759038838346,tp
trend,BTC/USDT:USDT,long,1725364800000,1725368400000,58825.47344663077,58318.223061456534,0.002736218527974678,-1.4836907437116291,sl
trend,BTC/USDT:USDT,short,1725602400000,1725606000000,56501.470198808,55400.61040984213,0.0028380322981298796,3.029938403790038,tp
trend,BTC/USDT:USDT,short,1725627600000,1725631200000,56321.4789778892,55150.05557426623,0.002868393148929792,3.265187640504747,tp
trend,BTC/USDT:USDT,short,1725829200000,1725832800000,54306.976592971245,54949.72707428996,0.0029986072791887666,-2.026219862941013,sl
trend,BTC/USDT:USDT,short,1725894000000,1725897600000,54958.73064466268,55484.21388608218,0.002948062625412003,-1.6473000666639266,sl
trend,BTC/USDT:USDT,long,1725987600000,1725991200000,56723.62409326692,57704.00807000759,0.0028444920535978533,2.690211275863984,tp
trend,BTC/USDT:USDT,long,1726236000000,1726239600000,57707.20202068981,58687.14945884925,0.002814433360412211,2.658894118647723,tp
trend,BTC/USDT:USDT,long,1726437600000,1726441200000,59753.608533837854,59319.46335410583,0.0027356279079280604,-1.2850252574282588,sl
trend,BTC/USDT:USDT,long,1726473600000,1726477200000,59128.08838923406,58669.339972577174,0.002755653976801704,-1.3611553387190825,sl
trend,BTC/USDT:USDT,long,1726527600000,1726531200000,58278.37168047513,57722.126989157674,0.0027862661596160638,-1.646343285338485,sl
trend,BTC/USDT:USDT,long,1726851600000,1726855200000,63205.88990156068,62596.9278000489,0.002558424973751041,-1.6540735745938984,sl
trend,BTC/USDT:USDT,long,1727038800000,1727042400000,63023.38930513523,62390.391013927605,0.002555130134316274,-1.7130423497381824,sl
bbrsi,SOL/USDT:USDT,short,1727182800000,1727186400000,147.77534814548022,145.6184,2.436130278276125,5.0417594498874125,tp
trend,BTC/USDT:USDT,long,1727650800000,1727654400000,65796.50357585598,65360.11296508919,0.0024368295105325656,-1.1589723896868958,sl
bbrsi,SOL/USDT:USDT,long,1727697600000,1727701200000,154.5500566879676,157.20245,2.3486361858979,6.007980094323762,tp
trend,BTC/USDT:USDT,short,1727784000000,1727787600000,63779.26122627096,62894.63138182522,0.0025064330126304112,2.122680737829338,tp
trend,BTC/USDT:USDT,short,1727892000000,1727895600000,61588.85775693611,60260.82528552204,0.00260915261835766,3.370701586007137,tp
trend,BTC/USDT:USDT,short,1727956800000,1727960400000,61148.41405010925,59882.89504542887,0.0026497850688561313,3.2581472822529802,tp
trend,BTC/USDT:USDT,short,1728025200000,1728028800000,60759.76459734465,61524.23868918523,0.0026879704376255582,-2.1541089600744954,sl
trend,BTC/USDT:USDT,short,1728252000000,1728255600000,62322.75795340867,62634.1511638667,0.0026065236383806894,-0.909608201237227,sl
trend,BTC/USDT:USDT,long,1728306000000,1728309600000,63065.70646668147,63818.868713879994,0.002569842025957818,1.8371053486935918,tp
trend,BTC/USDT:USDT,long,1728334800000,1728338400000,63273.10943293214,62627.682832615756,0.0025728272398972147,-1.75724926366629,sl
trend,BTC/USDT:USDT,short,1728493200000,1728496800000,62203.87400203911,61388.96990074425,0.0026055428079753604,2.0272965669101213,tp
trend,BTC/USDT:USDT,short,1728572400000,1728576000000,61108.26115750761,60341.980625463184,0.0026653157214317114,1.9458812913110348,tp
trend,BTC/USDT:USDT,short,1728633600000,1728637200000,60416.54877992777,61016.24250314348,0.0027084985019636882,-1.723426991815919,sl
trend,BTC/USDT:USDT,long,1728813600000,1728817200000,62896.83079953868,62540.1115244625,0.002590522732954138,-1.0212963397431163,sl
trend,BTC/USDT:USDT,long,1728993600000,1728997200000,65398.73576776944,66405.41782841408,0.002484973367139131,2.402568693036261,tp
trend,BTC/USDT:USDT,long,1729011600000,1729015200000,65684.27982505951,67290.40100632928,0.002488603717825912,3.8965236577158935,tp
trend,BTC/USDT:USDT,long,1729155600000,1729159200000,67531.24414390967,66878.29926376739,0.002443427150777441,-1.693470599432124,sl
trend,BTC/USDT:USDT,long,1729458000000,1729461600000,68192.62909602698,69131.51102896615,0.00240960187034015,2.1623840106738967,tp
trend,BTC/USDT:USDT,long,1729494000000,1729497600000,68768.6581534392,68337.98756298752,0.0024018048233834704,-1.1328674063257278,sl
trend,BTC/USDT:USDT,long,1729580400000,1729584000000,67677.10463281558,67147.31925460868,0.002433652197002518,-1.3873612822291161,sl
trend,BTC/USDT:USDT,long,1729594800000,1729598400000,67481.3863115065,66956.57080693517,0.002432291667854962,-1.3742191244990667,sl
trend,BTC/USDT:USDT,long,1729663200000,1729666800000,67375.09440779864,66810.36340067648,0.00242777537746876,-1.4683603671186518,sl
trend,BTC/USDT:USDT,short,1729724400000,1729728000000,66564.15758745125,67173.98747253351,0.002448332124827222,-1.59174463721564,sl
bbrsi,SOL/USDT:USDT,short,1729756800000,1729760400000,171.9322672614747,171.29925,2.131903986041244,1.1304158906422817,tp
trend,BTC/USDT:USDT,long,1729836000000,1729839600000,67776.95728347464,67269.29932249433,0.0023949353340899948,-1.3124713614919539,sl
trend,BTC/USDT:USDT,short,1730037600000,1730041200000,67137.57487698496,67819.4824110668,0.0024097304061511176,-1.7412693203977618,sl
trend,BTC/USDT:USDT,long,1730376000000,1730379600000,72141.23914151517,71523.48437872832,0.0022327590583209084,-1.4751143670107867,sl
trend,BTC/USDT:USDT,long,1730462400000,1730466000000,70083.33096379362,71163.18707337779,0.002289718129798899,2.374799927919276,tp
trend,BTC/USDT:USDT,long,1730480400000,1730484000000,70219.00197368667,69312.6517783528,0.0022986392750251137,-2.1789670261014358,sl
trend,BTC/USDT:USDT,long,1730592000000,1730595600000,69755.69132325263,69015.59738211455,0.0023012266566608997,-1.7984162252328368,sl
trend,BTC/USDT:USDT,short,1730682000000,1730685600000,68602.9599714882,69230.33116246675,0.0023292208967468663,-1.5580377284635991,sl
trend,BTC/USDT:USDT,short,1730732400000,1730736000000,68786.2034824846,67711.00959754418,0.00231376993465826,2.393750665952275,tp
trend,BTC/USDT:USDT,short,1730844000000,1730847600000,69113.72906253765,69880.68948327449,0.0023164748818951617,-1.8737706671951457,sl
trend,BTC/USDT:USDT,long,1730991600000,1730995200000,74783.13337187913,76109.72440797741,0.002130666286619181,2.729224142417845,tp
trend,BTC/USDT:USDT,long,1731085200000,1731088800000,75905.83007311156,77046.35648602026,0.002113366569518805,2.3126540762339793,tp
trend,BTC/USDT:USDT,long,1731168000000,1731171600000,76390.04801300907,75917.95543810759,0.002111912169025107,-1.093217286203192,sl
trend,BTC/USDT:USDT,long,1731193200000,1731196800000,76335.99692043946,77100.43054116583,0.0021075100246417183,1.5135575606921694,tp
trend,BTC/USDT:USDT,long,1731272400000,1731276000000,79125.90871622362,80763.71264302671,0.002040689757433584,3.243361489413797,tp
trend,BTC/USDT:USDT,long,1731412800000,1731416400000,87124.40115084853,85283.98432812042,0.0018680858197724958,-3.5336472500753597,sl
trend,BTC/USDT:USDT,long,1731502800000,1731506400000,87009.20867008637,90230.34779099452,0.0018541644205625053,5.872140411352449,tp
trend,BTC/USDT:USDT,long,1731693600000,1731697200000,88450.49746376596,90860.59420166424,0.001850360749623162,4.358673480282871,tp
trend,BTC/USDT:USDT,long,1732446000000,1732449600000,98227.71656199133,97187.41992476114,0.0016837987356961973,-1.8498365953941307,sl
trend,BTC/USDT:USDT,long,1732521600000,1732525200000,97194.25476184927,98605.05465518606,0.0016939534035861215,2.2896098603304282,tp
trend,BTC/USDT:USDT,short,1732647600000,1732651200000,93830.01858474524,91184.84616200866,0.0017643096921522345,4.570376358131326,tp
trend,BTC/USDT:USDT,short,1732708800000,1732712400000,92818.13915931732,94238.54277353597,0.0018030971062992542,-2.663078392840747,sl
trend,BTC/USDT:USDT,long,1733155200000,1733158800000,96206.60409891293,95335.86399586817,0.0017283792471533533,-1.6038350410706557,sl
trend,BTC/USDT:USDT,long,1733421600000,1733425200000,101240.52148670483,99592.07980515418,0.001635972029728679,-2.794562397822026,sl
trend,BTC/USDT:USDT,long,1733500800000,1733504400000,98538.64724458383,101189.1477206887,0.0016693509697474859,4.323263418976577,tp
bbrsi,SOL/USDT:USDT,short,1733605200000,1733608800000,241.29592735158764,238.98925,1.5216889663161048,3.291845091886266,tp
trend,BTC/USDT:USDT,short,1733842800000,1733846400000,97608.86213727495,95343.56983496548,0.0017028344395847864,3.760005159514103,tp
trend,BTC/USDT:USDT,short,1733900400000,1733904000000,96759.27375014112,98360.21876968037,0.0017331923926416598,-2.8770320386491006,sl
trend,BTC/USDT:USDT,long,1734015600000,1734019200000,100380.69255670307,101957.92553592064,0.0016590661404011346,2.5152408661425705,tp
trend,BTC/USDT:USDT,long,1734030000000,1734033600000,100845.14685821974,99794.33037526363,0.0016612696463834881,-1.8451607022145984,sl
trend,BTC/USDT:USDT,long,1734354000000,1734357600000,104111.663035446,105738.86660483033,0.0016019292156005708,2.5050332297430127,tp
bbrsi,SOL/USDT:USDT,long,1734415200000,1734418800000,212.2746747913754,216.2667,1.738824456585716,6.715801167800092,tp
trend,BTC/USDT:USDT,long,1734469200000,1734472800000,106669.56079981431,105497.84694436786,0.0015727840667387103,-1.9424080822727612,sl
trend,BTC/USDT:USDT,long,1734526800000,1734530400000,105050.66569620823,103913.81979623139,0.0015894977898291548,-1.9061165175288255,sl
trend,BTC/USDT:USDT,long,1734544800000,1734548400000,104779.33815459398,103605.32573580995,0.0015862096386589008,-1.9608336743595949,sl
trend,BTC/USDT:USDT,short,1734616800000,1734620400000,102037.83650371645,100023.6071091595,0.0016210101287051496,3.1678026819723213,tp
trend,BTC/USDT:USDT,short,1734753600000,1734757200000,96496.32545518593,98571.92722612446,0.0017270943159856669,-3.686905829974522,sl
trend,BTC/USDT:USDT,short,1734962400000,1734966000000,95631.8130094472,93388.62988475527,0.0017271465950188729,3.7775285833441066,tp
trend,BTC/USDT:USDT,short,1735041600000,1735045200000,94528.4527819116,95937.1300282307,0.001763151232569008,-2.5852020245744836,sl
trend,BTC/USDT:USDT,short,1735131600000,1735135200000,97727.67263365012,98727.805550424,0.0016947149085362416,-1.7953294549465662,sl
trend,BTC/USDT:USDT,short,1735419600000,1735423200000,94707.59769953691,95351.4305286143,0.0017410341553212119,-1.2205410041262588,sl
trend,BTC/USDT:USDT,short,1735560000000,1735563600000,93872.64452565162,92712.55811539323,0.0017511784786648282,1.9341046131518411,tp
trend,BTC/USDT:USDT,short,1735628400000,1735632000000,93621.9974698821,94666.20917652239,0.0017639897686083541,-1.942172901426727,sl
trend,BTC/USDT:USDT,short,1735761600000,1735765200000,94044.4456095911,95153.2537111914,0.0017476647724165462,-2.0376024522320253,sl
trend,BTC/USDT:USDT,long,1735916400000,1735920000000,96578.97379165754,97811.35603474156,0.0016932254359218347,1.9873309551922542,tp
trend,BTC/USDT:USDT,long,1736082000000,1736085600000,97822.92752684833,97273.22052747806,0.0016796862365240806,-1.0213683747846287,sl
trend,BTC/USDT:USDT,short,1736449200000,1736452800000,93886.7524168487,91673.83757496989,0.001745615099772222,3.7668812214187497,tp
trend,BTC/USDT:USDT,short,1736517600000,1736521200000,94041.09500828834,92353.49275806264,0.0017586330098645021,2.8704234842041565,tp
trend,BTC/USDT:USDT,long,1737032400000,1737036000000,99146.6252895272,98220.45233805994,0.001679519723146174,-1.6545036511846378,sl
trend,BTC/USDT:USDT,long,1737072000000,1737075600000,98998.81690571371,100741.02591752581,0.0016752077942265397,2.8173048246700936,tp
trend,BTC/USDT:USDT,long,1737183600000,1737187200000,103573.29061111195,102481.1430309027,0.0016119719973871109,-1.8596293560070218,sl
trend,BTC/USDT:USDT,long,1737248400000,1737252000000,103404.53966571437,105404.99781354806,0.0016072798772443278,3.113646927114532,tp
trend,BTC/USDT:USDT,long,1737388800000,1737392400000,105843.72369403456,103319.85926485309,0.0015818812183176472,-4.090517585012335,sl
trend,BTC/USDT:USDT,long,1737478800000,1737482400000,103046.01743749864,106722.509910244,0.0016088210015399896,5.811799852988029,tp
trend,BTC/USDT:USDT,long,1737640800000,1737644400000,102728.0124971255,104753.65754567539,0.001636302019535755,3.211721910967346,tp
trend,BTC/USDT:USDT,long,1737738000000,1737741600000,103762.02882489322,107017.72206270575,0.001632247340092013,5.209288992267329,tp
trend,BTC/USDT:USDT,long,1737928800000,1737932400000,105170.5235429458,103796.07826956622,0.0016300713940559663,-2.3419609336329295,sl
trend,BTC/USDT:USDT,short,1738018800000,1738022400000,101071.64469010246,102577.88011241803,0.0016867734094717188,-2.6444932431104724,sl
trend,BTC/USDT:USDT,short,1738072800000,1738076400000,102189.03893950165,103293.80989422694,0.001657844406589182,-1.9342853868345689,sl
trend,BTC/USDT:USDT,short,1738094400000,1738098000000,102275.34888244921,100241.80639251998,0.0016487478285459093,3.2536346881551417,tp
trend,BTC/USDT:USDT,long,1738288800000,1738292400000,104966.44327590578,103932.43841623917,0.0016187480289448588,-1.774737586402573,sl
bbrsi,SOL/USDT:USDT,long,1738396800000,1738400400000,232.4607487984367,227.02793328269283,1.6049745415630665,-8.93815502366317,sl
trend,BTC/USDT:USDT,short,1738699200000,1738702800000,99479.77744183847,96762.9394338836,0.0017007550613463089,4.521933957491507,tp
bbrsi,SOL/USDT:USDT,long,1738807200000,1738810800000,198.44183004756587,200.978,1.8528649902180347,4.475749454105725,tp
trend,BTC/USDT:USDT,short,1739743200000,1739746800000,97115.1952059141,96432.06954755072,0.001760651079858986,1.1008759916477073,tp
trend,BTC/USDT:USDT,short,1739797200000,1739800800000,96392.48189062277,96888.21088413535,0.0017782781547559519,-0.9849205531637522,sl
trend,BTC/USDT:USDT,short,1739804400000,1739808000000,96422.43120751661,95543.31768066273,0.0017734977375536314,1.457438336281133,tp
trend,BTC/USDT:USDT,short,1739890800000,1739894400000,96054.55907766131,94911.05208661166,0.0017862167103870226,1.9408322715147626,tp
trend,BTC/USDT:USDT,long,1740153600000,1740157200000,98282.53725342773,97479.27774402278,0.0017534840910437414,-1.5110597883595211,sl
trend,BTC/USDT:USDT,short,1740315600000,1740319200000,96576.35445950991,95545.35080503052,0.0017780610543620106,1.7312561646196307,tp
bbrsi,SOL/USDT:USDT,long,1740319200000,1740322800000,169.19425970946713,166.74469936393476,2.1887695687073907,-5.580502575240251,sl
trend,BTC/USDT:USDT,short,1740366000000,1740369600000,95949.5156669446,95233.13055631991,0.0017967513271104998,1.1844997460099362,tp
trend,BTC/USDT:USDT,short,1740402000000,1740405600000,95810.06531872314,94943.21306152306,0.001804167726428299,1.4611707775125045,tp
trend,BTC/USDT:USDT,short,1740574800000,1740578400000,88974.28731139176,86473.79228435592,0.0019491931059234303,4.772815196235845,tp
trend,BTC/USDT:USDT,short,1740682800000,1740686400000,85752.86199688617,82985.94530948478,0.0020445185756165366,5.555212780555311,tp
trend,BTC/USDT:USDT,short,1740859200000,1740862800000,84450.83241294534,85727.86410561761,0.0021021862477744215,-2.792688024492087,sl
trend,BTC/USDT:USDT,long,1741006800000,1741010400000,91549.11146603199,89964.69753246565,0.0019268357493231279,-3.1569137261508513,sl
trend,BTC/USDT:USDT,short,1741190400000,1741194000000,87910.29512605292,89571.18160338061,0.001992067289068803,-3.4156567148904013,sl
trend,BTC/USDT:USDT,long,1741276800000,1741280400000,90472.51611617717,89067.90200170592,0.001920394813890983,-2.8000409832015913,sl
trend,BTC/USDT:USDT,long,1741359600000,1741363200000,88608.71166980137,86801.96140408708,0.001947991700444293,-3.6209882226254275,sl
trend,BTC/USDT:USDT,short,1741510800000,1741514400000,86336.48217203529,84873.10956506984,0.001982323423451063,2.7999302241570803,tp
trend,BTC/USDT:USDT,short,1741611600000,1741615200000,82594.6889944396,80058.37067979692,0.0020855228507825393,5.189371665176075,tp
trend,BTC/USDT:USDT,long,1742119200000,1742122800000,83935.19156207194,83227.70238189351,0.0020767818173077182,-1.5730081327383063,sl
trend,BTC/USDT:USDT,short,1742158800000,1742162400000,83653.13928756544,82312.77747771767,0.0020760958009222942,2.6801859981313267,tp
trend,BTC/USDT:USDT,long,1742482800000,1742486400000,85379.40412517142,84462.45980342591,0.0020465136017753555,-1.980251170219137,sl
trend,BTC/USDT:USDT,long,1742868000000,1742871600000,87421.11137678275,86650.53053485793,0.001989496933149181,-1.636502800605854,sl
trend,BTC/USDT:USDT,long,1742907600000,1742911200000,86977.62549657258,88169.8190277076,0.0019919550222781035,2.269417703576522,tp
trend,BTC/USDT:USDT,long,1742990400000,1742994000000,87476.84769768857,86724.36008307898,0.001990805900728855,-1.6016476040643528,sl
trend,BTC/USDT:USDT,short,1743368400000,1743372000000,82881.42850392056,81806.83753719955,0.0020932896151749994,2.146682869117791,tp
trend,BTC/USDT:USDT,short,1743418800000,1743422400000,82115.45060520741,82892.78233737164,0.0021231038233873014,-1.7559499624651496,sl
trend,BTC/USDT:USDT,short,1743426000000,1743429600000,82178.91126639428,83008.44015790323,0.0021127476296334212,-1.8578107303578753,sl
trend,BTC/USDT:USDT,short,1743487200000,1743490800000,82584.41387086103,83557.55440976481,0.002093207152842454,-2.1419266990930836,sl
trend,BTC/USDT:USDT,short,1744059600000,1744063200000,77933.05873234669,79633.40737507478,0.002206966961684212,-3.85806225731936,sl
trend,BTC/USDT:USDT,short,1744128000000,1744131600000,79205.39291710212,76701.51984004068,0.0021518572790349454,5.288947072385774,tp
trend,BTC/USDT:USDT,short,1744214400000,1744218000000,77117.64748391446,78483.65829323926,0.002237369145062804,-3.16162858587974,sl
trend,BTC/USDT:USDT,long,1744293600000,1744297200000,81292.99305265068,80134.81425749652,0.002106727577658092,-2.541260541486163,sl
trend,BTC/USDT:USDT,long,1744545600000,1744549200000,84726.20504788094,83866.61145039703,0.0020092011089882194,-1.8281993425837753,sl
trend,BTC/USDT:USDT,long,1744567200000,1744570800000,84401.75105273005,83599.3604161689,0.0020080991772414005,-1.7120054612264135,sl
trend,BTC/USDT:USDT,long,1744812000000,1744815600000,83988.78729136765,85158.9737858179,0.002009657850038162,2.2489902344786548,tp
trend,BTC/USDT:USDT,long,1745186400000,1745190000000,84631.90213357705,85245.64772524443,0.0020048564951691086,1.1279286615196396,tp
trend,BTC/USDT:USDT,long,1745280000000,1745283600000,86895.57030602162,88350.3968839169,0.0019576649945566046,2.7442867771552653,tp
trend,BTC/USDT:USDT,long,1745470800000,1745474400000,93255.6632919472,92317.2194359914,0.0018357761431790974,-1.8244570919038,sl
trend,BTC/USDT:USDT,long,1745539200000,1745542800000,92756.93895418514,94110.60185736105,0.0018376311815699053,2.383768814316853,tp
trend,BTC/USDT:USDT,long,1746342000000,1746345600000,96060.53822357891,95627.6758704428,0.0017842177212512985,-0.8746930376860532,sl
