strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason
trend,BTC/USDT:USDT,short,1756717200000,1756720800000,107989.2323578969,108992.13852779634,0.002315045625766209,-2.473166605804668,sl
trend,BTC/USDT:USDT,long,1756778400000,1756782000000,108624.73353921593,110354.81029688714,0.0022898874739913414,3.8100610377587367,tp
trend,BTC/USDT:USDT,long,1756818000000,1756821600000,109570.44169325236,111181.55884677764,0.0022872826786253715,3.5324981662549044,tp
trend,BTC/USDT:USDT,long,1757102400000,1757106000000,111391.65033447513,110421.97487758924,0.002265517746099802,-2.3469147217191533,sl
trend,BTC/USDT:USDT,long,1757394000000,1757397600000,111774.86978353371,112761.84730110873,0.0022470262568820994,2.0657370979473235,tp
trend,BTC/USDT:USDT,long,1757692800000,1757696400000,114900.59793261092,115870.65270649173,0.0021946693423938652,1.9763708111721623,tp
trend,BTC/USDT:USDT,long,1757887200000,1757890800000,115658.70463773921,115079.77568783984,0.0021886099193475163,-1.4181684854992291,sl
trend,BTC/USDT:USDT,long,1758441600000,1758445200000,115770.84954699187,115386.39115696608,0.002180146313127114,-0.9891110707250445,sl
trend,BTC/USDT:USDT,short,1758495600000,1758499200000,115567.1914401987,115061.09683902907,0.002179490497208814,0.9525636336424543,tp
trend,BTC/USDT:USDT,short,1758646800000,1758650400000,112786.90826232446,111677.74757266373,0.0022372161226675022,2.33152382309033,tp
trend,BTC/USDT:USDT,short,1758682800000,1758686400000,112352.55432111125,111247.75265021523,0.0022560165201802773,2.3418647603771072,tp
bbrsi,SOL/USDT:USDT,long,1759064400000,1759068000000,199.16042595170973,201.6289,1.5063233499648208,3.536089105663176,tp
trend,BTC/USDT:USDT,short,1759086000000,1759089600000,109536.01249331098,110419.47008773952,0.0023244848730161033,-2.207584846943594,sl
trend,BTC/USDT:USDT,long,1759244400000,1759248000000,113395.69775466785,112834.26071543296,0.002235407120433622,-1.4063786610801376,sl
trend,BTC/USDT:USDT,long,1759255200000,1759258800000,113315.78764859326,114445.3831104955,0.0022305542550310497,2.3664579822503358,tp
trend,BTC/USDT:USDT,long,1759496400000,1759500000000,119727.81500980008,120930.07048701838,0.002120768390961414,2.3958266113414526,tp
trend,BTC/USDT:USDT,long,1759626000000,1759629600000,121940.29386942566,123049.86207743417,0.0020919048110046396,2.1666659133868533,tp
trend,BTC/USDT:USDT,long,1759676400000,1759680000000,123284.00732771521,122336.75091916055,0.0020776848283965625,-2.120606595459478,sl
trend,BTC/USDT:USDT,long,1759816800000,1759820400000,124627.41770190101,123694.5802229529,0.002046575292043007,-2.061012298893231,sl
trend,BTC/USDT:USDT,long,1759939200000,1759942800000,122102.38228458133,123846.04187669112,0.0020802491887423557,3.4726680750434555,tp
trend,BTC/USDT:USDT,short,1760274000000,1760277600000,111361.8992668954,112919.7108974729,0.002296245996824321,-3.7326935809864907,sl
trend,BTC/USDT:USDT,short,1760378400000,1760382000000,114431.80165644594,115528.90327579257,0.0022181106431442073,-2.5872463124516036,sl
trend,BTC/USDT:USDT,short,1760544000000,1760547600000,112490.74045375269,110139.60801965132,0.002244659344883559,5.129155849034591,tp
trend,BTC/USDT:USDT,short,1760623200000,1760626800000,111333.10450568525,109424.33947199499,0.0022908075768668,4.222211338062404,tp
trend,BTC/USDT:USDT,short,1760878800000,1760882400000,106782.83734898196,108188.05707455245,0.0024079555023855514,-3.5400137866431973,sl
bbrsi,SOL/USDT:USDT,short,1760911200000,1760914800000,189.8759599997354,188.59705000000002,1.5909631396403152,1.854668095619425,tp
trend,BTC/USDT:USDT,short,1760925600000,1760929200000,108204.13679414267,108984.27422100012,0.0023597304927000452,-1.9952181837145073,sl
trend,BTC/USDT:USDT,short,1760986800000,1760990400000,110200.18626636731,111083.8797754246,0.002307704435841589,-2.1931126880408844,sl
trend,BTC/USDT:USDT,short,1761015600000,1761019200000,110409.1696803203,108734.66002737463,0.0022931743089877254,3.6903339989641752,tp
trend,BTC/USDT:USDT,short,1761260400000,1761264000000,109498.507293153,110645.89546825981,0.0023288657164723388,-2.8267206440666603,sl
trend,BTC/USDT:USDT,long,1761465600000,1761469200000,110520.98994931577,112286.89232290507,0.002294301369379771,3.8969402514250118,tp
trend,BTC/USDT:USDT,long,1761656400000,1761660000000,114309.33726399145,115648.55590756559,0.002235089258506788,2.838182298002111,tp
trend,BTC/USDT:USDT,long,1761742800000,1761746400000,113389.83501832365,112501.0819886117,0.0022655039035560745,-2.166396442349404,sl
trend,BTC/USDT:USDT,short,1761822000000,1761825600000,111074.83712475827,108645.76841222683,0.002302737809444145,5.443398734828597,tp
trend,BTC/USDT:USDT,short,1761879600000,1761883200000,108743.96077027079,110043.00168091341,0.002376889227124748,-3.2446123612302737,sl
trend,BTC/USDT:USDT,short,1761915600000,1761919200000,109406.63861863916,110592.15385546246,0.0023474278955726603,-2.938675801740499,sl
trend,BTC/USDT:USDT,short,1762351200000,1762354800000,102187.10811276488,103570.47795782967,0.0024986437120038253,-3.6118197988459895,sl
trend,BTC/USDT:USDT,short,1762509600000,1762513200000,101964.15011366794,100026.98146018764,0.002486145689777079,4.666874508930125,tp
trend,BTC/USDT:USDT,long,1762819200000,1762822800000,105404.02838310688,107104.28715145415,0.0024269074315485086,3.9704113261943537,tp
trend,BTC/USDT:USDT,short,1762956000000,1762959600000,104090.80643854658,102633.35402696737,0.002476351694243138,3.4566709806146156,tp
trend,BTC/USDT:USDT,short,1763046000000,1763049600000,102749.16894946704,100844.65843715833,0.002525256471443165,4.6565823203417676,tp
trend,BTC/USDT:USDT,short,1763323200000,1763326800000,96175.93037839449,93396.12423261993,0.002721786492264001,7.413516233061971,tp
trend,BTC/USDT:USDT,short,1763395200000,1763398800000,94842.04385114247,92698.37177459932,0.0027988739854993326,5.844197371723121,tp
trend,BTC/USDT:USDT,short,1763524800000,1763528400000,92448.47098856048,90397.35581191767,0.0029026600439145127,5.796254393033271,tp
trend,BTC/USDT:USDT,short,1763902800000,1763906400000,84893.50946600859,86923.79878696518,0.0031947998982927066,-6.652990602211187,sl
trend,BTC/USDT:USDT,short,1763946000000,1763949600000,86680.59744940838,87589.48948598886,0.003090243563277344,-2.9711014794137616,sl
trend,BTC/USDT:USDT,short,1764000000000,1764003600000,86855.77312663978,87906.68301552178,0.003066598932752295,-3.3844638678546923,sl
trend,BTC/USDT:USDT,long,1764331200000,1764334800000,91028.88128204664,92154.35733110255,0.0029071317842250272,3.111164277843203,tp
trend,BTC/USDT:USDT,short,1764666000000,1764669600000,86290.69658574554,87461.49406311598,0.003084481681481383,-3.773167397437366,sl
