side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct,reason,fees
long,1756591200000,1756594800000,199.91664406510873,202.14755,2.000833906904361,4.220994034302035,0.010552485085755086,tp,0.24267820334258675
long,1756688400000,1756692000000,201.20197575836931,197.92310209790472,1.996284559829991,-6.782631361669742,-0.016886650883606,sl,0.23706649965102125
short,1756810800000,1756814400000,202.60665304277885,200.36285,1.9688949329468302,4.181116401388459,0.010481320829728417,tp,0.23669604006947145
short,1756861200000,1756864800000,207.13991720355526,211.76803233666982,1.9337255302036962,-9.195205139991959,-0.022956347654825404,sl,0.24570075036625216
long,1756994400000,1756998000000,206.71009236951633,203.66500898060076,1.9197979908775014,-6.080542377126371,-0.01532234037534112,sl,0.23459740503180332
long,1757026800000,1757030400000,204.6293939220947,201.57321046632038,1.9272776417194137,-6.123206568327419,-0.015526251244548409,sl,0.23309252502080458
short,1757260800000,1757264400000,204.87713204887046,202.70104999999998,1.9128382898847673,3.9298524671064485,0.010027773223516334,tp,0.23264059790390798
short,1757278800000,1757282400000,204.56897953492677,206.73643190376828,1.923250597623939,-4.407117643421593,-0.011201572365435472,sl,0.23856357972573783
long,1757908800000,1757912400000,241.0728442046812,243.71425,1.6245840189407859,4.053625077169621,0.010350304089830587,tp,0.23756056544288365
short,1758063600000,1758067200000,237.78502997567654,236.31499999999997,1.6537340837621763,2.1965573729258674,0.005585889809011255,tp,0.23448130200255515
long,1758132000000,1758135600000,232.6296384262842,234.92264999999998,1.6940247839337097,3.645639560876928,0.009251005152543014,tp,0.23877887484443064
short,1758142800000,1758146400000,237.65678152737667,242.20794605570813,1.6641944733254586,-7.81587153037695,-0.0197616464625222,sl,0.24184867513285216
short,1758434400000,1758438000000,241.40942123505513,239.51710000000003,1.625243584855018,2.8419187696153903,0.00724334189655557,tp,0.23356417814284672
long,1758488400000,1758492000000,237.82545174801373,235.64110018838483,1.6543834559032364,-3.847659524735998,-0.009779172929759243,sl,0.2339044426095005
long,1759064400000,1759068000000,199.41079835653898,201.62890000000002,1.9652092856808991,4.121288154388723,0.010516603517686443,tp,0.23774579192497527
short,1759766400000,1759770000000,233.55910659469797,237.41101255337975,1.6848031441724673,-6.729697762490392,-0.017102105862844087,sl,0.23999449224666197
long,1759838400000,1759842000000,230.3944140766965,226.48774523473173,1.6961251405010425,-6.8566901736933605,-0.017546265196168667,sl,0.2304909352248142
long,1760601600000,1760605200000,196.2248061454824,190.2910881782097,1.9773433709941366,-11.958760380996567,-0.030821243954730623,sl,0.22576249306106616
short,1760889600000,1760893200000,188.67172282062785,192.22319491757887,2.0309841319608344,-7.447224829212635,-0.01943484672256708,sl,0.2342413552034503
short,1760968800000,1760972400000,192.9556035757107,190.70774999999998,1.970296395022985,4.203487321365621,0.011056579265777237,tp,0.22545047539676674
long,1761015600000,1761019200000,186.89285269912185,183.3088018374296,2.0430460831455726,-7.547086072534902,-0.019765529229422815,sl,0.22470499776004105
short,1761472800000,1761476400000,195.24304588344577,197.27119477576656,1.9400503002554903,-4.164340491903672,-0.010994048978664513,sl,0.22962962439389112
short,1761642000000,1761645600000,203.04924051825355,200.49869999999999,1.857112541388363,4.5132315935866405,0.011968728826814289,tp,0.22340919018123775
short,1762070400000,1762074000000,187.10523185210815,186.07705,2.0248520746840355,1.855849055947477,0.004898503441275133,tp,0.226067100446151
long,1762113600000,1762117200000,183.9237932551978,185.4684,2.0637484741429923,2.9580237362354587,0.007793041234275914,tp,0.22965607650104528
long,1762513200000,1762516800000,154.82594739401142,150.98953410843674,2.459053522978222,-9.656720412962185,-0.025364010827242225,sl,0.22277480746931505
long,1762660800000,1762664400000,157.01116142304957,157.8655,2.400034123586,1.8231121856147452,0.004837995401509792,tp,0.22732955216217937
short,1762696800000,1762700400000,159.852633814945,162.3613686291794,2.3617455308172874,-6.15506697756624,-0.01630346384175907,sl,0.23007374204240552
short,1762711200000,1762714800000,161.77334204062657,164.8299902501284,2.3182992295302127,-7.315500332673171,-0.019505971526875124,sl,0.22927514364020704
long,1762869600000,1762873200000,164.05098665157652,160.04468320713246,2.2680924909483333,-9.304464445322992,-0.02500643451222373,sl,0.21779768651898115
long,1763560800000,1763564400000,137.53488173391705,134.32410264270032,2.678093396457018,-8.814605777033226,-0.023931191209878112,sl,0.21583949536345823
short,1764144000000,1764147600000,138.84475062675196,137.68115,2.627221757365591,2.840005535771512,0.0077856161783020775,tp,0.2170313477154693
long,1764162000000,1764165600000,135.72496225293517,137.94585,2.695766230526391,5.763872331884468,0.015753330865403113,tp,0.22312185844275537
short,1764230400000,1764234000000,142.78088268855444,141.74134999999998,2.5784897898071852,2.4611372493473938,0.0066849837357881295,tp,0.21928717426109195
long,1764313200000,1764316800000,139.61822744901127,140.89499999999998,2.643738264781936,3.151958746782227,0.00853925431351086,tp,0.22349370168987046
long,1764414000000,1764417600000,137.47968724555147,137.34465,2.6938183535520492,-0.5857547338389822,-0.0015816448226500385,tp,0.22198892335930945
short,1765202400000,1765206000000,138.29739003542522,135.3759,2.6759823531734757,7.60049766810306,0.020537368743529297,tp,0.21735811166698626
short,1765904400000,1765908000000,129.10594111787952,127.14434999999999,2.8898125411697415,5.448176610794131,0.014602771116150019,tp,0.22045400230132497
long,1765969200000,1765972800000,126.83320666318018,127.99945,2.958542174726853,3.223165035275501,0.008589577567907415,tp,0.22721506270010464
short,1766048400000,1766052000000,130.55164203952657,123.80725,2.883921120331054,19.23606444070825,0.05109171807664504,tp,0.21423020587506408
short,1766066400000,1766070000000,124.9392104892986,127.33104716557399,3.074814879911992,-7.589366641630499,-0.01975548984909061,sl,0.2349116390996895
short,1766073600000,1766077200000,126.02557559394502,123.98000000000002,3.0239771716871244,5.9608262852025575,0.01564117112463091,tp,0.2249476138474618
long,1766300400000,1766304000000,125.31004014332585,125.79199999999999,3.060028596617063,1.2438546735089302,0.003243831509504049,tp,0.2309562703353921
long,1766329200000,1766332800000,124.42373228223457,125.39824999999999,3.085578329187662,2.7747950777155728,0.007227550172868616,tp,0.232155673630834
short,1766412000000,1766415600000,126.80997926349735,128.634671135129,3.0360258608989628,-5.7741346233504895,-0.014997815513878729,sl,0.23432291290469096
short,1766422800000,1766426400000,127.66399198448258,126.43969999999999,2.9973833404104546,3.4422794478782746,0.00899570933534791,tp,0.2273929502078974
long,1766444400000,1766448000000,124.67640984222012,126.2992,3.0800070548700975,4.764803678321103,0.012408206490206446,tp,0.23340145621466962
long,1766502000000,1766505600000,123.44100764718846,124.75815,3.126022951192912,3.8834191207280977,0.01006381498733528,tp,0.23399810414902075
long,1766552400000,1766556000000,122.55760290545734,120.56957166428444,3.16097827579728,-6.512794243005648,-0.01681146608065496,sl,0.22867067805179184
long,1766584800000,1766588400000,121.2453445618587,122.5314,3.17344811759603,3.847921984887815,0.010000685820334112,tp,0.2333082244058437
long,1766671200000,1766674800000,121.77029501154135,122.37939999999999,3.172154571520249,1.6992513497729191,0.0043990806494134576,tp,0.23292382390194305
short,1766696400000,1766700000000,123.34108020306243,122.6258,3.1370164422371647,2.0130382673081026,0.005202684474677573,tp,0.23080749050549162
