side,mode,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason
short,mr,1725800400000,1725804000000,130.1898085446736,128.31375,4.241301989519103,7.630400420083907,tp
short,mr,1725904800000,1725908400000,132.12598017113436,134.48950500321124,5.457257637542635,-13.33873026838207,sl
short,mr,1726142400000,1726146000000,135.4486061216221,133.90025,5.429279223660352,7.9702686147294655,tp
long,mr,1726405200000,1726408800000,135.82751533815645,134.84161665910227,5.922229198659452,-6.317855719638199,sl
long,mr,1727035200000,1727038800000,143.8190721442422,142.077392346946,5.931005612992787,-10.835509740693372,sl
short,mr,1727182800000,1727186400000,147.85009809911722,145.6184,4.512788810001827,9.676895157368271,tp
short,mr,1727244000000,1727247600000,151.7332627193088,149.15185,5.248631349356957,13.079177878758287,tp
short,mr,1727650800000,1727654400000,159.97536040033287,157.32205000000002,4.728258003013545,12.099220589675102,tp
long,mr,1727697600000,1727701200000,154.4777206051668,157.20245,5.196423428943985,13.668713368283116,tp
short,mr,1728255600000,1728259200000,145.36712712268312,146.85863155856168,4.615533448679426,-7.290787168362766,sl
long,mr,1729209600000,1729213200000,149.1667878266706,151.26794999999998,4.970922944813682,9.993550464095666,tp
short,mr,1729756800000,1729760400000,172.05301144301157,171.29925,4.277472658278894,2.784557248391625,tp
long,mr,1729890000000,1729893600000,169.33888907343257,165.8741164666249,5.061584360779003,-18.040990340532435,sl
short,mr,1730044800000,1730048400000,174.99817712924622,177.32903687534693,4.47679949155621,-10.911111651505534,sl
long,mr,1730296800000,1730300400000,175.7617807568776,173.3280339283276,4.08880377229669,-10.376335804772891,sl
long,mr,1730336400000,1730340000000,174.46764500082068,175.98485,4.966742699464706,7.011123971892873,tp
long,mr,1730394000000,1730397600000,171.80639004333895,169.1626959290834,4.390166300329642,-12.05184822894895,sl
long,mr,1730624400000,1730628000000,162.36745265916664,164.02755000000002,5.41066740248487,8.44973545626228,tp
long,mr,1730660400000,1730664000000,159.88755071584228,162.13119999999998,5.455977374105145,11.710549234489696,tp
long,mr,1730775600000,1730779200000,157.0354165289931,160.29675,5.1764034531362055,16.38412145101293,tp
short,mr,1730818800000,1730822400000,165.70413041488445,168.3541118218468,4.837426768429441,-13.307731406141302,sl
short,mr,1731243600000,1731247200000,205.59852137296812,209.42020047203295,3.2256391114470664,-12.732665966965088,sl
short,mr,1731330000000,1731333600000,215.58939532207987,221.08105420428853,2.833031125595365,-15.933838249153517,sl
short,mr,1731445200000,1731448800000,223.46510926158143,215.05659999999997,2.7089792674926283,22.428926937701444,tp
short,mr,1732017600000,1732021200000,246.13406330911837,241.43875000000003,1.8083684686933135,8.228890405273244,tp
short,mr,1732201200000,1732204800000,248.2981664045626,254.55843763551755,1.9791467365653839,-12.692280477425543,sl
long,mr,1732482000000,1732485600000,248.42300998618896,251.65484999999998,2.722170827579025,8.386592110225696,tp
long,mr,1732550400000,1732554000000,245.63334707119586,240.85046084689918,2.8479435444692465,-14.032947055507426,sl
short,mr,1732896000000,1732899600000,244.34024333261172,240.69314999999997,2.921740005425091,10.233912810178786,tp
long,mr,1733036400000,1733040000000,235.3485196698786,238.5052,3.2393331853691945,9.761980663418532,tp
long,mr,1733234400000,1733238000000,220.2838122552452,225.37650000000002,3.338190860245667,16.54895382017714,tp
short,mr,1733310000000,1733313600000,235.64203932758528,234.39280000000002,3.0423629456029926,3.372774658773707,tp
short,mr,1733605200000,1733608800000,241.38942678537734,238.98925,2.1747328291132573,4.907900590167533,tp
long,mr,1733691600000,1733695200000,234.888796285188,236.92655,2.235970590573822,4.238500898396513,tp
long,mr,1734127200000,1734130800000,222.23531723239537,224.2802,3.0522603958544736,5.830777742504318,tp
long,mr,1734192000000,1734195600000,221.40201772603137,218.76858295473895,3.0659108025623367,-8.476311090194047,sl
long,mr,1734364800000,1734368400000,215.34678669745375,219.87535000000003,2.5184939951261653,11.072906634820749,tp
long,mr,1734415200000,1734418800000,212.12970416115976,216.2667,2.598217042454762,10.411668397645826,tp
short,mr,1734444000000,1734447600000,225.341767732827,217.98625,3.0122315327553135,21.762547420988103,tp
long,mr,1734552000000,1734555600000,212.3032995037388,207.75912524898612,3.0854933630505545,-14.405643144825943,sl
long,mr,1734800400000,1734804000000,186.31661905744636,181.01480922898392,2.8644549090546922,-15.497900445358184,sl
short,mr,1735048800000,1735052400000,191.28653381858456,196.26430219304083,2.1202762135203654,-10.803924599675423,sl
long,mr,1735574400000,1735578000000,188.28206581041636,191.07049999999998,3.5458836752898084,9.480955012396869,tp
short,mr,1735675200000,1735678800000,197.85344904209984,193.00955000000002,4.272658943559663,20.201530175927928,tp
short,mr,1735786800000,1735790400000,198.20206375803505,201.09815177257354,4.2359923578930605,-12.778916837827763,sl
short,mr,1736172000000,1736175600000,217.8187387691077,220.46907833787014,3.5874502594010877,-9.982514484821625,sl
short,mr,1736208000000,1736211600000,220.350555450539,217.56390000000002,4.244874220790268,11.274883049926821,tp
long,mr,1736254800000,1736258400000,213.48876637106878,211.03571536922695,4.144914594879389,-10.692521909522535,sl
long,mr,1736755200000,1736758800000,182.96477581106606,179.9140259042304,3.555737278879987,-11.23150137761579,sl
short,mr,1737723600000,1737727200000,260.84225533736986,268.79218150049695,1.148022755250967,-9.31184386231258,sl
long,mr,1737813600000,1737817200000,251.3273254939935,251.30755,1.1708285082416416,-0.19969653845797594,tp
